SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,SEX_CODE_CD,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,SSL_SCORE_RANK
467,20-30,2,1,1,0,1,1,-0.3,0,410
467,20-30,1,1,2,2,1,1,-0.5,0,410
466,less than 20,0,1,0,3,1,5,-0.6,1,429
466,less than 20,1,1,1,3,1,1,-4.2,1,429
466,less than 20,0,1,1,1,1,5,1.7,1,429
466,less than 20,2,1,2,3,1,1,-0.8,0,429
466,less than 20,2,1,1,3,1,0,-0.1,1,429
466,less than 20,1,1,3,2,1,0,-2.0,0,429
466,less than 20,2,1,1,2,1,2,0.1,1,429
466,less than 20,1,1,1,1,1,2,2.1,0,429
466,less than 20,0,1,0,5,1,0,0.4,2,429
466,less than 20,0,1,1,2,1,1,0.2,2,429
466,20-30,1,1,2,1,1,13,-1.2,0,429
466,less than 20,0,1,0,5,1,0,-1.5,1,429
466,less than 20,1,1,3,1,1,0,-0.4,1,429
466,less than 20,1,1,1,7,1,0,-2.9,0,429
466,less than 20,2,1,2,1,1,4,0.2,0,429
